ccaa_iso,fecha,num_casos
ES-NC,2020-02-26,2
ES-PV,2020-02-26,11
ES-RI,2020-02-26,3
ES-VC,2020-02-26,8
ES-AN,2020-02-27,8
ES-AR,2020-02-27,0
ES-AS,2020-02-27,0
ES-CB,2020-02-27,0
ES-CE,2020-02-27,0
ES-CL,2020-02-27,6
ES-CM,2020-02-27,1
ES-CN,2020-02-27,2
ES-CT,2020-02-27,16
ES-EX,2020-02-27,1
ES-GA,2020-02-27,7
ES-IB,2020-02-27,4
ES-MC,2020-02-27,1
ES-MD,2020-02-27,93
ES-ML,2020-02-27,0
ES-NC,2020-02-27,4
ES-PV,2020-02-27,13
ES-RI,2020-02-27,8
ES-VC,2020-02-27,15
ES-AN,2020-02-28,8
ES-AR,2020-02-28,3
ES-AS,2020-02-28,1
ES-CB,2020-02-28,0
ES-CE,2020-02-28,0
ES-CL,2020-02-28,8
ES-CM,2020-02-28,13
ES-CN,2020-02-28,7
ES-CT,2020-02-28,37
ES-EX,2020-02-28,6
ES-GA,2020-02-28,6
ES-IB,2020-02-28,4
ES-MC,2020-02-28,1
ES-MD,2020-02-28,157
ES-ML,2020-02-28,0
ES-NC,2020-02-28,2
ES-PV,2020-02-28,31
ES-RI,2020-02-28,11
ES-VC,2020-02-28,22
ES-AN,2020-02-29,8
ES-AR,2020-02-29,6
ES-AS,2020-02-29,2
ES-CB,2020-02-29,1
ES-CE,2020-02-29,0
ES-CL,2020-02-29,10
ES-CM,2020-02-29,17
ES-CN,2020-02-29,4
ES-CT,2020-02-29,23
ES-EX,2020-02-29,3
ES-GA,2020-02-29,1
ES-IB,2020-02-29,2
ES-MC,2020-02-29,2
ES-MD,2020-02-29,109
ES-ML,2020-02-29,0
ES-NC,2020-02-29,4
ES-PV,2020-02-29,26
ES-RI,2020-02-29,14
ES-VC,2020-02-29,14
ES-AN,2020-03-01,26
ES-AR,2020-03-01,7
ES-AS,2020-03-01,2
ES-CB,2020-03-01,1
ES-CE,2020-03-01,0
ES-CL,2020-03-01,28
ES-CM,2020-03-01,59
ES-CN,2020-03-01,7
ES-CT,2020-03-01,98
ES-EX,2020-03-01,4
ES-GA,2020-03-01,6
ES-IB,2020-03-01,4
ES-MC,2020-03-01,5
ES-MD,2020-03-01,319
ES-ML,2020-03-01,0
ES-NC,2020-03-01,8
ES-PV,2020-03-01,49
ES-RI,2020-03-01,23
ES-VC,2020-03-01,38
ES-AN,2020-03-02,32
ES-AR,2020-03-02,13
ES-AS,2020-03-02,3
ES-CB,2020-03-02,0
ES-CE,2020-03-02,0
ES-CL,2020-03-02,38
ES-CM,2020-03-02,61
ES-CN,2020-03-02,11
ES-CT,2020-03-02,88
ES-EX,2020-03-02,6
ES-GA,2020-03-02,19
ES-IB,2020-03-02,6
ES-MC,2020-03-02,7
ES-MD,2020-03-02,379
ES-ML,2020-03-02,0
ES-NC,2020-03-02,10
ES-PV,2020-03-02,56
ES-RI,2020-03-02,30
ES-VC,2020-03-02,38
ES-AN,2020-03-03,37
ES-AR,2020-03-03,7
ES-AS,2020-03-03,2
ES-CB,2020-03-03,0
ES-CE,2020-03-03,1
ES-CL,2020-03-03,29
ES-CM,2020-03-03,52
ES-CN,2020-03-03,9
ES-CT,2020-03-03,96
ES-EX,2020-03-03,4
ES-GA,2020-03-03,16
ES-IB,2020-03-03,8
ES-MC,2020-03-03,3
ES-MD,2020-03-03,401
ES-ML,2020-03-03,0
ES-NC,2020-03-03,14
ES-PV,2020-03-03,61
ES-RI,2020-03-03,29
ES-VC,2020-03-03,28
ES-AN,2020-03-04,32
ES-AR,2020-03-04,14
ES-AS,2020-03-04,2
ES-CB,2020-03-04,0
ES-CE,2020-03-04,0
ES-CL,2020-03-04,33
ES-CM,2020-03-04,54
ES-CN,2020-03-04,16
ES-CT,2020-03-04,158
ES-EX,2020-03-04,5
ES-GA,2020-03-04,13
ES-IB,2020-03-04,5
ES-MC,2020-03-04,5
ES-MD,2020-03-04,463
ES-ML,2020-03-04,0
ES-NC,2020-03-04,18
ES-PV,2020-03-04,70
ES-RI,2020-03-04,25
ES-VC,2020-03-04,35
ES-AN,2020-03-05,57
ES-AR,2020-03-05,10
ES-AS,2020-03-05,5
ES-CB,2020-03-05,0
ES-CE,2020-03-05,0
ES-CL,2020-03-05,46
ES-CM,2020-03-05,71
ES-CN,2020-03-05,16
ES-CT,2020-03-05,197
ES-EX,2020-03-05,5
ES-GA,2020-03-05,18
ES-IB,2020-03-05,12
ES-MC,2020-03-05,12
ES-MD,2020-03-05,655
ES-ML,2020-03-05,1
ES-NC,2020-03-05,19
ES-PV,2020-03-05,79
ES-RI,2020-03-05,27
ES-VC,2020-03-05,47
ES-AN,2020-03-06,69
ES-AR,2020-03-06,15
ES-AS,2020-03-06,12
ES-CB,2020-03-06,9
ES-CE,2020-03-06,0
ES-CL,2020-03-06,51
ES-CM,2020-03-06,97
ES-CN,2020-03-06,23
ES-CT,2020-03-06,276
ES-EX,2020-03-06,11
ES-GA,2020-03-06,25
ES-IB,2020-03-06,10
ES-MC,2020-03-06,10
ES-MD,2020-03-06,784
ES-ML,2020-03-06,1
ES-NC,2020-03-06,19
ES-PV,2020-03-06,83
ES-RI,2020-03-06,45
ES-VC,2020-03-06,68
ES-AN,2020-03-07,74
ES-AR,2020-03-07,22
ES-AS,2020-03-07,12
ES-CB,2020-03-07,12
ES-CE,2020-03-07,0
ES-CL,2020-03-07,73
ES-CM,2020-03-07,137
ES-CN,2020-03-07,19
ES-CT,2020-03-07,336
ES-EX,2020-03-07,13
ES-GA,2020-03-07,32
ES-IB,2020-03-07,6
ES-MC,2020-03-07,18
ES-MD,2020-03-07,853
ES-ML,2020-03-07,3
ES-NC,2020-03-07,43
ES-PV,2020-03-07,90
ES-RI,2020-03-07,39
ES-VC,2020-03-07,74
ES-AN,2020-03-08,80
ES-AR,2020-03-08,36
ES-AS,2020-03-08,14
ES-CB,2020-03-08,17
ES-CE,2020-03-08,1
ES-CL,2020-03-08,70
ES-CM,2020-03-08,143
ES-CN,2020-03-08,32
ES-CT,2020-03-08,355
ES-EX,2020-03-08,15
ES-GA,2020-03-08,35
ES-IB,2020-03-08,14
ES-MC,2020-03-08,15
ES-MD,2020-03-08,1070
ES-ML,2020-03-08,1
ES-NC,2020-03-08,38
ES-PV,2020-03-08,103
ES-RI,2020-03-08,41
ES-VC,2020-03-08,103
ES-AN,2020-03-09,161
ES-AR,2020-03-09,36
ES-AS,2020-03-09,32
ES-CB,2020-03-09,9
ES-CE,2020-03-09,0
ES-CL,2020-03-09,150
ES-CM,2020-03-09,200
ES-CN,2020-03-09,45
ES-CT,2020-03-09,634
ES-EX,2020-03-09,31
ES-GA,2020-03-09,80
ES-IB,2020-03-09,16
ES-MC,2020-03-09,25
ES-MD,2020-03-09,1504
ES-ML,2020-03-09,2
ES-NC,2020-03-09,77
ES-PV,2020-03-09,147
ES-RI,2020-03-09,61
ES-VC,2020-03-09,168
ES-AN,2020-03-10,211
ES-AR,2020-03-10,52
ES-AS,2020-03-10,53
ES-CB,2020-03-10,3
ES-CE,2020-03-10,1
ES-CL,2020-03-10,194
